gid_1,country,perc_used_internet_past12months_wght_age_15_to_49_wom,perc_used_internet_past12months_wght_age_15_to_49_fm_ratio,hdi_national,gdi_national,subnational_gdi,subnational_hdi_females,subnational_hdi_males,nl_mean_zscore,pop_density_zscore,fb_pntr_18p_female,fb_pntr_18p_male
BDI.15_1,Burundi,0.0173111238420739,0.149759993326528,0.423,0.925,0.92,0.366,0.398,-0.26088745882734915,0.16489569929429007,0.0109543395290967,0.0297820920911235
BDI.16_1,Burundi,0.0155119908111527,0.144414758713349,0.423,0.925,0.921,0.397,0.43,-0.2675692218825976,-0.09034030793701264,0.0072470325705357,0.0247467059010988
BDI.17_1,Burundi,0.0125623514452998,0.113950165675577,0.423,0.925,0.921,0.397,0.43,-0.2682014167941963,-0.10037468143624212,0.0052198583776788,0.0170853885348538
KHM.1_1,Cambodia,0.710265546581471,0.861920565421603,0.596,0.935,0.925,0.575,0.622,-0.2503074244958959,-0.16753096291984798,0.443978880259367,0.664563628195732
KHM.2_1,Cambodia,0.639049985970869,0.813202461548615,0.596,0.935,0.956,0.605,0.633,-0.2601549738251501,-0.16216422825045845,0.262207939112078,0.354240286830576
KHM.3_1,Cambodia,0.624526878441549,1.71243865279214,0.596,0.935,0.938,0.549,0.585,-0.2550124708213183,-0.1220292643979422,0.279773523318711,0.420466543293843
KHM.4_1,Cambodia,0.675051661345189,0.943779341961962,0.596,0.935,0.928,0.554,0.596,-0.2596574823814635,-0.2136169402378071,0.260357503176054,0.422698480984472
KHM.5_1,Cambodia,0.640497876249576,0.824057654151784,0.596,0.935,0.905,0.555,0.614,-0.2501891965464952,-0.19067495450712357,0.310025508974033,0.51107766881057
KHM.6_1,Cambodia,0.719068603782248,0.868546277602941,0.596,0.935,0.928,0.536,0.577,-0.2661974532469376,-0.25089579862661254,0.269046634070476,0.441051016104207
KHM.7_1,Cambodia,0.7574681078540471,1.01640119477497,0.596,0.935,0.937,0.578,0.616,-0.24949831333075512,-0.15938972246549984,0.275196782745694,0.436333091386091
KHM.8_1,Cambodia,0.742690939913749,0.946254200272079,0.596,0.935,0.921,0.578,0.627,-0.1425894942279402,0.05936907563421519,0.403731217469366,0.579800420114164
