_submission__uuid,gender,age_class,hh_size,age_u5,age_5_18,age_18plus,age_u5_count,age_5_18_count,age_18plus_count,hh_size_categorical,hh_size_categorical_crude,cooking_fuel,material_house,modern_fuel_type,manufactured_material_house,radio,bed,_id,health_zone
469a3f3e-c87a-4d1e-87e1-4cf5bed686e9,f,"[25,35)",7,2,3,2,2+,2+,2+,"[7,10)",7+,wood,bamboo_mud,0,0,no,no,461773839,Nyunzu
a1e1ae44-8f1d-4d3a-9a6b-950fdcf4ceb1,f,"[35,45)",7,1,3,3,1,2+,2+,"[7,10)",7+,wood,none,0,0,no,no,461773887,Nyunzu
a1e1ae44-8f1d-4d3a-9a6b-950fdcf4ceb1,f,"[18,25)",7,1,3,3,1,2+,2+,"[7,10)",7+,wood,none,0,0,no,no,461773887,Nyunzu
a1e1ae44-8f1d-4d3a-9a6b-950fdcf4ceb1,f,"[18,25)",7,1,3,3,1,2+,2+,"[7,10)",7+,wood,none,0,0,no,no,461773887,Nyunzu
69eb19c0-8c0d-4125-9f82-ee76235c08fa,m,"[25,35)",6,0,3,3,0,2+,2+,"[4,7)","[0,6)",wood,bamboo_mud,0,0,yes,no,461773889,Nyunzu
69eb19c0-8c0d-4125-9f82-ee76235c08fa,f,"[25,35)",6,0,3,3,0,2+,2+,"[4,7)","[0,6)",wood,bamboo_mud,0,0,yes,no,461773889,Nyunzu
69eb19c0-8c0d-4125-9f82-ee76235c08fa,f,"[18,25)",6,0,3,3,0,2+,2+,"[4,7)","[0,6)",wood,bamboo_mud,0,0,yes,no,461773889,Nyunzu
adc42b83-ccb0-430e-9d4e-80f774fb8fde,m,"[25,35)",7,2,3,2,2+,2+,2+,"[7,10)",7+,wood,wood_mud,0,0,no,yes,461774020,Nyunzu
adc42b83-ccb0-430e-9d4e-80f774fb8fde,f,"[18,25)",7,2,3,2,2+,2+,2+,"[7,10)",7+,wood,wood_mud,0,0,no,yes,461774020,Nyunzu
4baed651-87ef-4c8c-bfab-89339a861653,f,"[25,35)",5,2,1,2,2+,1,2+,"[4,7)","[0,6)",wood,none,0,0,no,no,461775852,Nyunzu
4baed651-87ef-4c8c-bfab-89339a861653,m,"[25,35)",5,2,1,2,2+,1,2+,"[4,7)","[0,6)",wood,none,0,0,no,no,461775852,Nyunzu
f986b7ed-9d79-4c2d-bba7-34649ca29089,m,"[25,35)",6,1,3,2,1,2+,2+,"[4,7)","[0,6)",wood,bamboo_mud,0,0,no,no,461775962,Nyunzu
f986b7ed-9d79-4c2d-bba7-34649ca29089,f,"[18,25)",6,1,3,2,1,2+,2+,"[4,7)","[0,6)",wood,bamboo_mud,0,0,no,no,461775962,Nyunzu
f1c31b11-c2d8-4051-99ab-40dfffc6b8a6,f,"[18,25)",8,2,4,2,2+,2+,2+,"[7,10)",7+,wood,bamboo_mud,0,0,no,no,461776068,Nyunzu
f1c31b11-c2d8-4051-99ab-40dfffc6b8a6,m,"[25,35)",8,2,4,2,2+,2+,2+,"[7,10)",7+,wood,bamboo_mud,0,0,no,no,461776068,Nyunzu
4c4fb994-efe9-4b85-8060-4b4ead6bdea4,f,"[35,45)",8,0,4,4,0,2+,2+,"[7,10)",7+,wood,none,0,0,no,no,461776420,Nyunzu
4c4fb994-efe9-4b85-8060-4b4ead6bdea4,m,"[25,35)",8,0,4,4,0,2+,2+,"[7,10)",7+,wood,none,0,0,no,no,461776420,Nyunzu
4c4fb994-efe9-4b85-8060-4b4ead6bdea4,f,"[18,25)",8,0,4,4,0,2+,2+,"[7,10)",7+,wood,none,0,0,no,no,461776420,Nyunzu
4c4fb994-efe9-4b85-8060-4b4ead6bdea4,m,"[18,25)",8,0,4,4,0,2+,2+,"[7,10)",7+,wood,none,0,0,no,no,461776420,Nyunzu
117c7c09-8ff3-4136-b5eb-198e8363af39,f,"[65,100]",5,2,1,2,2+,1,2+,"[4,7)","[0,6)",wood,wood_mud,0,0,no,no,461776502,Nyunzu
