_submission__uuid,gender,age_class,hh_size,age_u5,age_5_18,age_18plus,age_u5_count,age_5_18_count,age_18plus_count,hh_size_categorical,hh_size_categorical_crude,cooking_fuel,material_house,modern_fuel_type,manufactured_material_house,radio,bed,_id,health_zone
1667d70b-0770-41fa-ad0b-24aa6b3f3ceb,m,"[35,45)",6,0,4,2,0,2+,2+,"[4,7)","[0,6)",charcoal,earth,1,0,yes,yes,461455698,Kalemie
1614eaa7-64d8-44f1-8c45-19e2c37bfcbd,f,"[55,65)",7,0,4,3,0,2+,2+,"[7,10)",7+,wood,earth,0,0,no,yes,461455694,Kalemie
1614eaa7-64d8-44f1-8c45-19e2c37bfcbd,f,"[18,25)",7,0,4,3,0,2+,2+,"[7,10)",7+,wood,earth,0,0,no,yes,461455694,Kalemie
1614eaa7-64d8-44f1-8c45-19e2c37bfcbd,m,"[18,25)",7,0,4,3,0,2+,2+,"[7,10)",7+,wood,earth,0,0,no,yes,461455694,Kalemie
b893b4f7-cf51-4c30-8c2e-6c35cc21a659,f,"[45,55)",4,0,3,1,0,2+,1,"[4,7)","[0,6)",charcoal,earth,1,0,no,yes,461455719,Kalemie
37694b8a-ff19-4828-896c-90eee6589e33,m,"[55,65)",9,1,6,2,1,2+,2+,"[7,10)",7+,charcoal,earth,1,0,no,yes,461455743,Kalemie
37694b8a-ff19-4828-896c-90eee6589e33,f,"[35,45)",9,1,6,2,1,2+,2+,"[7,10)",7+,charcoal,earth,1,0,no,yes,461455743,Kalemie
c7d660ab-37e5-4d9f-b9be-b5b4646f3935,f,"[35,45)",9,2,5,2,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,no,yes,461455754,Kalemie
c7d660ab-37e5-4d9f-b9be-b5b4646f3935,m,"[35,45)",9,2,5,2,2+,2+,2+,"[7,10)",7+,charcoal,earth,1,0,no,yes,461455754,Kalemie
b9cf12c4-1aaf-453d-8df7-464b47597356,m,"[35,45)",4,2,0,2,2+,0,2+,"[4,7)","[0,6)",charcoal,earth,1,0,no,yes,461455769,Kalemie
